Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
449,Chris Okey,28,LAA,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
450,Edward Olivares,27,KCR,AL,72,262,240,34,60,13,4,6,17,8,3,14,43,0.25,0.305,0.413,0.718,97,99,4,6,0,2,1
451,Matt Olson,29,ATL,NL,97,435,371,75,95,19,2,32,80,1,0,60,116,0.256,0.363,0.577,0.94,146,214,8,3,0,1,2
452,Joey Ortiz,24,BAL,AL,15,34,33,4,7,1,0,0,4,0,0,0,9,0.212,0.206,0.242,0.448,26,8,2,0,0,1,0
453,James Outman,26,LAD,NL,91,333,291,50,71,11,3,12,42,10,2,33,112,0.244,0.333,0.426,0.759,102,124,0,7,0,2,1
454,Chris Owings,31,PIT,NL,10,25,25,0,4,0,0,0,0,0,0,0,12,0.16,0.16,0.16,0.32,-12,4,1,0,0,0,0
455,Marcell Ozuna,32,ATL,NL,81,324,290,38,67,8,0,18,43,0,0,31,76,0.231,0.306,0.445,0.75,98,129,6,1,0,2,1
456,Cristian Pache,24,PHI,NL,32,53,49,8,16,7,0,2,8,1,0,3,12,0.327,0.365,0.592,0.957,158,29,1,0,1,0,0
457,Kevin Padlo,26,LAA,AL,3,8,8,1,1,1,0,0,0,0,0,0,0,0.125,0.125,0.25,0.375,-1,2,1,0,0,0,0
458,Josh Palacios,27,PIT,NL,42,111,105,9,24,7,1,1,13,2,0,4,16,0.229,0.264,0.343,0.606,64,36,5,1,1,0,0
459,Isaac Paredes,24,TBR,AL,88,330,284,45,74,15,0,18,59,1,0,34,59,0.261,0.361,0.504,0.864,140,143,4,11,0,1,0
460,Vinnie Pasquantino,25,KCR,AL,61,260,231,24,57,17,0,9,26,0,0,25,31,0.247,0.324,0.437,0.762,109,101,7,2,0,1,2
461,Joc Pederson,31,SFG,NL,64,237,196,37,47,8,2,9,34,0,0,34,53,0.24,0.363,0.439,0.802,120,86,7,5,0,2,2
462,Liover Peguero,22,PIT,NL,3,10,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,-100,0,0,0,0,0,0
463,Jeremy Peña,25,HOU,AL,88,371,343,46,81,16,1,10,33,9,6,19,82,0.236,0.289,0.376,0.665,84,129,4,7,0,1,1
464,David Peralta,35,LAD,NL,81,260,243,26,69,11,1,7,37,1,1,13,42,0.284,0.319,0.424,0.743,98,103,3,1,0,3,0
465,Oswald Peraza,23,NYY,AL,17,57,45,5,8,1,0,0,4,4,1,8,14,0.178,0.351,0.2,0.551,60,9,1,4,0,0,0
466,Geraldo Perdomo#,23,ARI,NL,81,300,246,43,68,15,1,5,36,11,2,41,46,0.276,0.384,0.407,0.79,119,100,1,3,8,2,1
467,Carlos Pérez,32,OAK,AL,47,140,125,12,29,4,0,5,17,0,0,11,27,0.232,0.293,0.384,0.677,93,48,1,1,0,3,0
468,Carlos Pérez,26,CHW,AL,11,14,13,0,2,1,0,0,1,0,0,1,4,0.154,0.214,0.231,0.445,23,3,1,0,0,0,0
469,Cionel Pérez,27,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Michael Perez,30,NYM,NL,2,7,7,1,4,1,0,0,0,0,0,0,1,0.571,0.571,0.714,1.286,257,5,0,0,0,0,0
471,Roberto Pérez,34,SFG,NL,5,17,15,0,2,0,0,0,1,0,0,2,6,0.133,0.235,0.133,0.369,6,2,0,0,0,0,0
472,Salvador Perez,33,KCR,AL,88,361,337,38,83,15,0,15,40,0,0,12,87,0.246,0.288,0.424,0.712,95,143,9,9,0,3,3
473,Blake Perkins#,26,MIL,NL,47,119,103,16,22,4,0,2,15,4,2,14,33,0.214,0.308,0.311,0.618,71,32,1,0,2,0,0
474,Jace Peterson,33,OAK,AL,87,307,266,28,58,7,2,6,27,11,1,34,72,0.218,0.31,0.327,0.638,84,87,6,3,1,3,1
475,Tommy Pham,35,NYM,NL,74,250,217,28,59,15,1,9,35,11,1,29,53,0.272,0.356,0.475,0.831,129,103,2,1,0,3,1
476,Brett Phillips,29,LAA,AL,19,16,13,3,1,0,0,0,2,3,0,3,8,0.077,0.25,0.077,0.327,-3,1,0,0,0,0,0
477,Kevin Pillar,34,ATL,NL,48,116,110,17,27,7,0,6,18,3,0,5,27,0.245,0.276,0.473,0.749,95,52,0,0,0,1,0
478,Manny Piña,36,OAK,AL,4,12,12,1,3,0,0,1,1,0,0,0,3,0.25,0.25,0.5,0.75,108,6,1,0,0,0,0
479,René Pinto,26,TBR,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
480,Nick Pivetta,30,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Jorge Polanco#,29,MIN,AL,30,127,120,11,30,9,0,5,16,1,0,7,29,0.25,0.291,0.45,0.741,102,54,1,0,0,0,0
482,AJ Pollock,35,SEA,AL,49,138,127,15,22,4,0,5,15,0,1,9,30,0.173,0.225,0.323,0.547,53,41,1,0,0,2,0
483,Nick Pratto,24,KCR,AL,74,287,249,31,61,15,0,7,31,1,1,29,105,0.245,0.334,0.39,0.724,101,97,3,6,0,3,0
484,Ryan Pressly,34,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,Jurickson Profar#,30,COL,NL,86,380,334,41,80,20,2,7,34,1,0,37,71,0.24,0.319,0.374,0.694,79,125,8,4,0,4,0
486,Cole Ragans,25,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,Cole Ragans,25,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,Cal Raleigh#,26,SEA,AL,84,318,285,42,63,13,1,14,38,0,0,32,81,0.221,0.302,0.421,0.723,102,120,2,1,0,0,1
489,Luke Raley,28,TBR,AL,79,272,238,45,64,16,2,15,39,11,2,19,82,0.269,0.354,0.542,0.896,147,129,2,13,1,1,0
490,Harold Ramírez,28,TBR,AL,73,267,246,33,70,11,1,9,37,4,2,16,54,0.285,0.33,0.447,0.777,116,110,3,2,0,3,0
491,José Ramírez#,30,CLE,AL,94,421,370,61,109,25,4,14,55,12,4,44,41,0.295,0.366,0.497,0.863,140,184,7,1,0,6,12
492,Heliot Ramos,23,SFG,NL,9,27,26,1,5,2,0,0,1,0,0,1,8,0.192,0.222,0.269,0.491,35,7,1,0,0,0,0
493,Henry Ramos#,31,CIN,NL,18,73,62,8,15,2,1,0,4,2,1,10,15,0.242,0.356,0.306,0.663,79,19,2,1,0,0,0
494,J.T. Realmuto,32,PHI,NL,86,344,311,41,76,21,5,12,39,11,3,22,86,0.244,0.304,0.46,0.764,107,143,6,6,0,3,2
495,Rob Refsnyder,32,BOS,AL,61,177,145,22,39,6,1,1,25,7,1,24,36,0.269,0.389,0.345,0.733,100,50,4,5,1,1,0
