Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
683,Kolten Wong,32,SEA,AL,60,196,175,18,28,6,0,1,16,1,1,15,43,0.16,0.24,0.211,0.451,30,37,0,4,0,2,0
684,Austin Wynns,32,TOT,NL,27,69,62,5,13,3,0,1,7,1,0,5,25,0.21,0.265,0.306,0.571,49,19,3,0,1,1,0
685,Austin Wynns,32,SFG,NL,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
686,Austin Wynns,32,LAD,NL,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,41,3,0,0,0,0,0
687,Austin Wynns,32,COL,NL,21,55,49,5,11,2,0,1,5,1,0,4,18,0.224,0.278,0.327,0.604,56,16,3,0,1,1,0
688,Mike Yastrzemski,32,SFG,NL,70,268,239,41,55,14,1,11,30,1,2,27,69,0.23,0.311,0.435,0.746,103,104,2,1,1,0,2
689,Christian Yelich,31,MIL,NL,95,410,360,71,103,23,2,14,54,21,2,47,87,0.286,0.373,0.478,0.851,132,172,8,3,0,0,3
690,Juan Yepez,25,STL,NL,20,46,42,5,9,1,0,2,2,0,1,3,13,0.214,0.283,0.381,0.664,80,16,0,1,0,0,0
691,Masataka Yoshida,29,BOS,AL,86,370,335,52,107,22,3,11,51,8,0,28,42,0.319,0.381,0.501,0.883,135,168,11,6,0,1,0
692,Alex Young,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,Jared Young,27,CHC,NL,13,39,35,7,6,0,2,1,5,2,0,3,11,0.171,0.256,0.371,0.628,67,13,1,1,0,0,0
694,Seby Zavala,29,CHW,AL,59,156,143,14,23,3,0,6,15,1,0,8,60,0.161,0.208,0.308,0.515,40,44,3,1,2,2,0
695,Mike Zunino,32,CLE,AL,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,63,38,3,1,0,0,0
