Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,PLAYOFFS,YEAR
Baltimore Orioles,31,28.4,4.19,101,61,0.623,3.89,162,162,162,0,12,0,49,1453.2,1334,678,629,177,473,16,1431,63,7,64,6098,106,3.98,1.243,8.3,1.1,2.9,8.9,3.03,1080,1,2023
Boston Red Sox,33,30,4.79,78,84,0.481,4.52,162,162,162,0,5,0,43,1430,1416,776,718,208,497,21,1423,83,4,49,6168,101,4.37,1.338,8.9,1.3,3.1,9,2.86,1117,0,2023
Chicago White Sox,32,29.2,5.19,61,101,0.377,4.87,162,162,160,2,7,0,28,1431.2,1372,841,774,214,654,14,1470,91,9,65,6301,92,4.71,1.415,8.6,1.3,4.1,9.2,2.25,1189,0,2023
Cleveland Guardians,29,26.1,4.3,76,86,0.469,3.96,162,162,161,1,13,0,47,1444,1352,697,635,173,534,9,1311,51,10,61,6144,105,4.21,1.306,8.4,1.1,3.3,8.2,2.46,1143,0,2023
Detroit Tigers,32,27.7,4.57,78,84,0.481,4.24,162,162,162,0,15,0,41,1442.1,1320,740,680,187,476,8,1374,50,5,51,6073,105,4.13,1.245,8.2,1.2,3,8.6,2.89,1027,0,2023
Houston Astros,24,29.2,4.31,90,72,0.556,3.94,162,162,160,2,7,2,42,1445.1,1312,698,632,201,537,6,1460,75,5,37,6110,107,4.31,1.279,8.2,1.3,3.3,9.1,2.72,1091,1,2023
Kansas City Royals,36,29.1,5.3,56,106,0.346,5.17,162,162,159,3,6,0,28,1409,1429,859,809,207,553,8,1270,73,6,67,6139,86,4.7,1.407,9.1,1.3,3.5,8.1,2.3,1060,0,2023
Los Angeles Angels,39,28,5.12,73,89,0.451,4.64,162,162,161,1,9,1,43,1431.2,1394,829,738,209,636,41,1445,88,8,70,6305,97,4.65,1.418,8.8,1.3,4,9.1,2.27,1199,0,2023
Minnesota Twins,29,29,4.07,87,75,0.537,3.87,162,162,160,2,12,2,38,1451.1,1294,659,624,194,443,16,1560,63,1,51,6028,111,3.89,1.197,8,1.2,2.7,9.7,3.52,1046,1,2023
New York Yankees,32,29.1,4.31,82,80,0.506,3.97,162,162,159,3,8,3,44,1439.2,1272,698,635,195,508,6,1439,85,15,60,6078,110,4.25,1.236,8,1.2,3.2,9,2.83,1080,0,2023
