
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Houston Astros,24,29.2,4.31,90,72,.556,3.94,162,162,160,2,7,2,42,1445.1,1312,698,632,201,537,6,1460,75,5,37,6110,107,4.31,1.279,8.2,1.3,3.3,9.1,2.72,1091
Kansas City Royals,36,29.1,5.30,56,106,.346,5.17,162,162,159,3,6,0,28,1409.0,1429,859,809,207,553,8,1270,73,6,67,6139,86,4.70,1.407,9.1,1.3,3.5,8.1,2.30,1060
Los Angeles Angels,39,28.0,5.12,73,89,.451,4.64,162,162,161,1,9,1,43,1431.2,1394,829,738,209,636,41,1445,88,8,70,6305,97,4.65,1.418,8.8,1.3,4.0,9.1,2.27,1199
Los Angeles Dodgers,39,28.1,4.31,100,62,.617,4.06,162,162,162,0,15,0,44,1446.1,1284,699,652,200,454,20,1388,73,4,49,6018,108,4.23,1.202,8.0,1.2,2.8,8.6,3.06,1000
Miami Marlins,32,27.6,4.46,84,78,.519,4.21,162,162,159,3,9,1,43,1435.1,1340,723,672,191,514,20,1490,71,9,38,6091,107,4.13,1.292,8.4,1.2,3.2,9.3,2.90,1081
Milwaukee Brewers,34,29.3,3.99,92,70,.568,3.71,162,162,161,1,16,1,46,1443.0,1218,647,595,198,493,7,1425,60,8,54,5990,116,4.21,1.186,7.6,1.2,3.1,8.9,2.89,1036
Minnesota Twins,29,29.0,4.07,87,75,.537,3.87,162,162,160,2,12,2,38,1451.1,1294,659,624,194,443,16,1560,63,1,51,6028,111,3.89,1.197,8.0,1.2,2.7,9.7,3.52,1046
New York Mets,37,31.9,4.50,75,87,.463,4.30,162,162,161,1,7,0,34,1416.1,1331,729,676,190,595,13,1397,85,8,59,6115,99,4.47,1.360,8.5,1.2,3.8,8.9,2.35,1147
New York Yankees,32,29.1,4.31,82,80,.506,3.97,162,162,159,3,8,3,44,1439.2,1272,698,635,195,508,6,1439,85,15,60,6078,110,4.25,1.236,8.0,1.2,3.2,9.0,2.83,1080
Oakland Athletics,41,28.0,5.70,50,112,.309,5.48,162,162,162,0,5,0,29,1419.2,1464,924,865,213,694,33,1300,100,4,76,6384,75,5.05,1.520,9.3,1.4,4.4,8.2,1.87,1219
Philadelphia Phillies,26,29.8,4.41,90,72,.556,4.03,162,162,161,1,4,1,45,1442.1,1318,715,646,185,470,6,1454,54,7,35,6074,107,4.00,1.240,8.2,1.2,2.9,9.1,3.09,1056
Pittsburgh Pirates,30,27.6,4.88,76,86,.469,4.60,162,162,160,2,10,2,47,1430.0,1380,790,731,179,596,25,1363,81,7,57,6238,97,4.40,1.382,8.7,1.1,3.8,8.6,2.29,1171
San Diego Padres,30,30.7,4.00,82,80,.506,3.73,162,162,162,0,16,0,36,1441.0,1270,648,598,174,557,14,1445,76,7,48,6082,110,4.14,1.268,7.9,1.1,3.5,9.0,2.59,1131
Seattle Mariners,35,27.4,4.07,88,74,.543,3.74,162,162,160,2,18,1,44,1449.1,1300,659,602,184,421,22,1459,57,4,41,6006,109,3.88,1.187,8.1,1.1,2.6,9.1,3.47,1026
San Francisco Giants,24,30.0,4.44,79,83,.488,4.02,162,162,158,4,11,2,50,1434.2,1395,719,641,173,403,22,1359,71,12,60,6039,105,3.92,1.253,8.8,1.1,2.5,8.5,3.37,1038
St. Louis Cardinals,28,29.7,5.12,71,91,.438,4.79,162,162,162,0,10,0,36,1428.1,1549,829,760,179,530,6,1215,63,7,62,6273,90,4.43,1.456,9.8,1.1,3.3,7.7,2.29,1172
Tampa Bay Rays,40,28.5,4.10,99,63,.611,3.86,162,162,162,0,14,0,45,1442.0,1258,665,618,177,439,10,1507,63,1,65,5994,108,3.80,1.177,7.9,1.1,2.7,9.4,3.43,1019
Texas Rangers,31,30.4,4.42,90,72,.556,4.28,162,162,159,3,13,1,30,1436.1,1330,716,683,198,491,19,1351,59,4,46,6025,105,4.31,1.268,8.3,1.2,3.1,8.5,2.75,1016
Toronto Blue Jays,26,30.6,4.14,89,73,.549,3.78,162,162,161,1,15,1,51,1451.2,1326,671,610,198,488,29,1528,62,12,42,6100,113,4.06,1.250,8.2,1.2,3.0,9.5,3.13,1100
Washington Nationals,28,28.0,5.22,71,91,.438,5.02,162,162,162,0,3,0,42,1428.1,1512,845,797,245,592,25,1225,66,8,54,6285,86,5.15,1.473,9.5,1.5,3.7,7.7,2.07,1167
