Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO:W,LOB,PLAYOFFS,YEAR,Py_Win%,AB,BABIP,SF
New York Yankees,32,29.1,4.31,82,80,0.506,3.97,162,162,159,3,8,3,44,1439.2,1272,698,635,195,508,6,1439,85,15,60,6078,110,4.25,1.236,8,1.2,3.2,9,2.83,1080,0,2023,0.481771196,5323,0.289127517,36
Oakland Athletics,41,28,5.7,50,112,0.309,5.48,162,162,162,0,5,0,29,1419.2,1464,924,865,213,694,33,1300,100,4,76,6384,75,5.05,1.52,9.3,1.4,4.4,8.2,1.87,1219,0,2023,0.286141065,5311,0.32629108,36
Philadelphia Phillies,26,29.8,4.41,90,72,0.556,4.03,162,162,161,1,4,1,45,1442.1,1318,715,646,185,470,6,1454,54,7,35,6074,107,4,1.24,8.2,1.2,2.9,9.1,3.09,1056,1,2023,0.553453274,5541,0.287271805,42
Pittsburgh Pirates,30,27.6,4.88,76,86,0.469,4.6,162,162,160,2,10,2,47,1430,1380,790,731,179,596,25,1363,81,7,57,6238,97,4.4,1.382,8.7,1.1,3.8,8.6,2.29,1171,0,2023,0.434161042,5406,0.30739698,43
San Diego Padres,30,30.7,4,82,80,0.506,3.73,162,162,162,0,16,0,36,1441,1270,648,598,174,557,14,1445,76,7,48,6082,110,4.14,1.268,7.9,1.1,3.5,9,2.59,1131,0,2023,0.573878028,5401,0.286461056,44
Seattle Mariners,35,27.4,4.07,88,74,0.543,3.74,162,162,160,2,18,1,44,1449.1,1300,659,602,184,421,22,1459,57,4,41,6006,109,3.88,1.187,8.1,1.1,2.6,9.1,3.47,1026,0,2023,0.569526538,5500,0.286594761,37
San Francisco Giants,24,30,4.44,79,83,0.488,4.02,162,162,158,4,11,2,50,1434.2,1395,719,641,173,403,22,1359,71,12,60,6039,105,3.92,1.253,8.8,1.1,2.5,8.5,3.37,1038,0,2023,0.467729298,5412,0.311814238,39
St. Louis Cardinals,28,29.7,5.12,71,91,0.438,4.79,162,162,162,0,10,0,36,1428.1,1549,829,760,179,530,6,1215,63,7,62,6273,90,4.43,1.456,9.8,1.1,3.3,7.7,2.29,1172,0,2023,0.429297576,5510,0.329882013,37
Tampa Bay Rays,40,28.5,4.1,99,63,0.611,3.86,162,162,162,0,14,0,45,1442,1258,665,618,177,439,10,1507,63,1,65,5994,108,3.8,1.177,7.9,1.1,2.7,9.4,3.43,1019,1,2023,0.625811774,5511,0.279689521,38
Texas Rangers,31,30.4,4.42,90,72,0.556,4.28,162,162,159,3,13,1,30,1436.1,1330,716,683,198,491,19,1351,59,4,46,6025,105,4.31,1.268,8.3,1.2,3.1,8.5,2.75,1016,1,2023,0.602227469,5595,0.276569753,47
Toronto Blue Jays,26,30.6,4.14,89,73,0.549,3.78,162,162,161,1,15,1,51,1451.2,1326,671,610,198,488,29,1528,62,12,42,6100,113,4.06,1.25,8.2,1.2,3,9.5,3.13,1100,1,2023,0.55278086,5562,0.291623578,32
Washington Nationals,28,28,5.22,71,91,0.438,5.02,162,162,162,0,3,0,42,1428.1,1512,845,797,245,592,25,1225,66,8,54,6285,86,5.15,1.473,9.5,1.5,3.7,7.7,2.07,1167,0,2023,0.406968294,5522,0.309779951,38
