Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,PLAYOFFS,YEAR,Range_Factor
St. Louis Cardinals,37,3.53,0.718,162,1458,1102,13176,6359,4392,1859,108,166,0.983,50,1,1985,38.58641975
Texas Rangers,42,4.88,0.695,161,1449,1125,12705,6058,4235,1703,120,145,0.98,-16,0,1985,36.88198758
Toronto Blue Jays,38,3.65,0.724,161,1449,1079,13032,6198,4344,1729,125,164,0.98,71,1,1985,37.72049689
Atlanta Braves,37,4.04,0.703,162,1458,1156,13023,6443,4341,1963,139,153,0.978,2,0,1984,38.91358025
Baltimore Orioles,35,4.12,0.715,162,1458,1054,12954,6351,4318,1910,123,166,0.981,59,0,1984,38.44444444
Boston Red Sox,33,4.72,0.684,162,1458,1193,12978,6206,4326,1737,143,128,0.977,-25,0,1984,37.42592593
California Angels,36,4.3,0.697,162,1457,1041,13113.1,6305,4374,1803,128,170,0.98,3,0,1984,38.12962963
Chicago Cubs,40,4.09,0.69,161,1449,1029,12906,6273,4302,1850,121,137,0.981,-18,1,1984,38.21118012
Chicago White Sox,38,4.54,0.71,162,1459,993,13089,6281,4363,1796,122,160,0.981,11,0,1984,38.01851852
Cincinnati Reds,43,4.61,0.697,162,1458,1021,13152,6152,4384,1629,139,116,0.977,-52,0,1984,37.11728395
Cleveland Indians,40,4.7,0.694,163,1467,1081,13209,6268,4403,1719,146,163,0.977,-7,0,1984,37.55828221
Detroit Tigers,35,3.97,0.713,162,1458,968,13176,6186,4392,1667,127,162,0.979,52,1,1984,37.40123457
Houston Astros,35,3.89,0.702,162,1458,1154,13044,6325,4348,1844,133,160,0.979,-20,0,1984,38.22222222
Kansas City Royals,35,4.23,0.711,162,1458,1063,12996,6323,4332,1860,131,157,0.979,62,1,1984,38.22222222
Los Angeles Dodgers,37,3.7,0.688,162,1458,1042,13146,6463,4382,1918,163,146,0.975,-26,0,1984,38.88888889
Milwaukee Brewers,36,4.56,0.689,161,1449,1146,12897,6247,4299,1812,136,156,0.978,-35,0,1984,37.95652174
Minnesota Twins,37,4.17,0.714,162,1458,1210,12939,6111,4313,1678,120,134,0.98,106,0,1984,36.98148148
Montreal Expos,43,3.63,0.71,161,1449,1049,12879,6088,4293,1663,132,147,0.978,40,0,1984,36.99378882
New York Mets,40,4.17,0.694,162,1458,1139,12984,6089,4328,1632,129,154,0.979,-22,0,1984,36.79012346
New York Yankees,41,4.19,0.684,162,1458,1127,13186,6288,4396,1750,142,177,0.977,-39,0,1984,37.9382716
Oakland Athletics,37,4.91,0.692,162,1458,987,12870,5944,4290,1508,146,159,0.975,-24,0,1984,35.79012346
Philadelphia Phillies,39,4.26,0.698,162,1458,987,13125,6328,4375,1792,161,112,0.975,-15,0,1984,38.06790123
Pittsburgh Pirates,36,3.5,0.705,162,1458,1107,13230,6330,4410,1792,128,142,0.98,28,0,1984,38.28395062
San Diego Padres,31,3.91,0.721,162,1458,1106,13143,6152,4381,1633,138,144,0.978,32,1,1984,37.12345679
Seattle Mariners,40,4.78,0.683,162,1458,1105,12978,6154,4326,1700,128,143,0.979,-45,0,1984,37.19753086
San Francisco Giants,39,4.98,0.676,162,1458,1087,13149,6399,4383,1843,173,134,0.973,-108,0,1984,38.43209877
St. Louis Cardinals,41,3.98,0.698,162,1458,1045,13041,6466,4347,2001,118,184,0.982,14,0,1984,39.18518519
Texas Rangers,34,4.43,0.701,161,1449,1160,12948,6125,4316,1671,138,138,0.977,-25,0,1984,37.1863354
Toronto Blue Jays,33,4.27,0.705,163,1467,1074,13176,6184,4392,1669,123,166,0.98,29,0,1984,37.18404908
Atlanta Braves,40,3.95,0.698,162,1458,1120,12966,6309,4322,1850,137,176,0.978,-16,0,1983,38.09876543
Baltimore Orioles,36,4.02,0.705,162,1458,1012,13071,6262,4357,1784,121,159,0.981,6,1,1983,37.90740741
Boston Red Sox,31,4.78,0.689,162,1458,1205,13017,6188,4339,1719,130,168,0.979,-12,0,1983,37.39506173
California Angels,39,4.81,0.683,162,1458,1129,13266,6653,4422,2077,154,190,0.977,-46,0,1983,40.11728395
Chicago Cubs,42,4.44,0.69,162,1458,1094,12858,6383,4286,1982,115,164,0.982,-25,0,1983,38.69135802
Chicago White Sox,39,4.01,0.712,162,1458,988,13008,6309,4336,1853,120,158,0.981,44,1,1983,38.2037037
Cincinnati Reds,35,4.38,0.708,162,1458,1143,12972,6062,4324,1624,114,121,0.981,22,0,1983,36.71604938
Cleveland Indians,39,4.85,0.687,162,1458,1137,12975,6233,4325,1786,122,174,0.98,-50,0,1983,37.72222222
Detroit Tigers,37,4.19,0.726,162,1458,1088,13055,6181,4353,1703,125,142,0.98,80,0,1983,37.38271605
Houston Astros,33,3.99,0.718,162,1458,1120,13197,6385,4399,1839,147,165,0.977,34,0,1983,38.50617284
Kansas City Royals,37,4.71,0.697,163,1467,1094,12930,6294,4313,1816,165,178,0.974,-25,0,1983,37.60122699
Los Angeles Dodgers,40,3.74,0.702,163,1467,1030,13176,6365,4392,1805,168,132,0.974,-22,1,1983,38.01840491
Milwaukee Brewers,36,4.37,0.703,162,1458,1256,13086,6246,4362,1771,113,162,0.982,-14,0,1983,37.85802469
Minnesota Twins,35,5.07,0.691,162,1458,1206,12936,6133,4312,1700,121,170,0.98,14,0,1983,37.11111111
Montreal Expos,39,3.96,0.706,163,1467,1112,13239,6216,4413,1687,116,130,0.981,40,0,1983,37.42331288
New York Mets,39,4.2,0.708,162,1458,1074,13057,6393,4353,1889,151,171,0.976,5,0,1983,38.5308642
New York Yankees,39,4.34,0.696,162,1458,1135,13110,6242,4370,1733,139,157,0.978,-39,0,1983,37.67283951
Oakland Athletics,42,4.83,0.704,162,1458,987,13089,6122,4363,1602,157,157,0.974,6,0,1983,36.82098765
Philadelphia Phillies,43,3.9,0.685,163,1467,955,13155,6341,4385,1804,152,117,0.976,-59,1,1983,37.96932515
Pittsburgh Pirates,37,4,0.697,162,1458,1137,13161,6219,4387,1717,115,165,0.982,-12,0,1983,37.67901235
San Diego Padres,41,4.01,0.714,163,1467,1104,13208,6261,4403,1729,129,135,0.979,27,0,1983,37.6196319
Seattle Mariners,40,4.57,0.687,162,1458,1141,12765,6249,4255,1858,136,159,0.978,-32,0,1983,37.7345679
San Francisco Giants,40,4.3,0.696,162,1458,1108,13011,6283,4337,1775,171,109,0.973,-35,0,1983,37.72839506
St. Louis Cardinals,42,4.38,0.699,162,1458,1030,13146,6456,4382,1922,152,173,0.976,4,0,1983,38.91358025
Texas Rangers,37,3.74,0.709,163,1466,1205,13191,6412,4400,1899,113,151,0.982,45,0,1983,38.64417178
Toronto Blue Jays,33,4.48,0.706,162,1458,1066,13008,6088,4336,1637,115,148,0.981,43,0,1983,36.87037037
Atlanta Braves,37,4.33,0.695,162,1458,1120,13167,6448,4389,1922,137,186,0.979,-32,1,1982,38.95679012
Baltimore Orioles,32,4.21,0.719,163,1467,1043,13161,6195,4387,1707,101,140,0.984,42,0,1982,37.38650307
Boston Red Sox,33,4.4,0.69,162,1458,1179,13077,6310,4359,1830,121,172,0.981,1,0,1982,38.2037037
California Angels,36,4.14,0.712,162,1458,1091,13176,6484,4392,1984,108,171,0.983,50,1,1982,39.35802469
Chicago Cubs,37,4.38,0.695,162,1458,1071,13026,6383,4342,1909,132,110,0.979,-29,0,1982,38.58641975
Chicago White Sox,37,4.38,0.688,162,1458,1032,12949,6372,4317,1901,154,173,0.976,-44,0,1982,38.38271605
Cincinnati Reds,33,4.08,0.692,162,1458,1096,13143,6272,4381,1763,128,158,0.98,-55,0,1982,37.92592593
Cleveland Indians,36,4.62,0.704,162,1458,1093,13215,6268,4405,1740,123,129,0.98,-21,0,1982,37.93209877
Detroit Tigers,38,4.23,0.725,162,1458,1134,13054,6314,4353,1844,117,165,0.981,77,0,1982,38.25308642
Houston Astros,37,3.83,0.705,162,1458,1173,13020,6303,4340,1827,136,154,0.978,-13,0,1982,38.06790123
Kansas City Royals,39,4.43,0.716,162,1458,1124,12879,6163,4293,1743,127,140,0.979,36,0,1982,37.25925926
Los Angeles Dodgers,36,3.78,0.709,162,1458,1080,13395,6550,4465,1946,139,131,0.979,2,0,1982,39.57407407
Milwaukee Brewers,32,4.4,0.703,163,1467,1233,13206,6361,4402,1834,125,185,0.98,16,1,1982,38.25766871
Minnesota Twins,39,5.06,0.707,162,1458,1192,12897,5967,4299,1560,108,162,0.982,55,0,1982,36.16666667
Montreal Expos,39,3.8,0.708,162,1458,1159,13146,6134,4382,1630,122,117,0.98,3,0,1982,37.11111111
New York Mets,39,4.46,0.688,162,1458,1032,13026,6353,4342,1836,175,134,0.972,-69,0,1982,38.13580247
New York Yankees,45,4.42,0.69,162,1458,1171,13131,6206,4377,1701,128,158,0.979,-71,0,1982,37.51851852
Oakland Athletics,41,5.06,0.706,162,1458,1143,13103,6176,4369,1647,160,140,0.974,4,0,1982,37.13580247
Philadelphia Phillies,36,4.04,0.693,162,1458,1097,13107,6311,4369,1821,121,138,0.981,-12,0,1982,38.20987654
Pittsburgh Pirates,43,4.3,0.697,162,1458,1135,13200,6403,4400,1858,145,133,0.977,-2,0,1982,38.62962963
San Diego Padres,38,4.06,0.725,162,1458,1119,13284,6406,4428,1826,152,142,0.976,55,0,1982,38.60493827
Seattle Mariners,39,4.4,0.701,162,1458,1133,13287,6341,4429,1773,139,158,0.978,4,0,1982,38.28395062
San Francisco Giants,37,4.24,0.688,162,1458,1077,13188,6478,4396,1909,173,125,0.973,-70,0,1982,38.91975309
St. Louis Cardinals,33,3.76,0.71,162,1458,1079,13188,6558,4396,2038,124,169,0.981,53,1,1982,39.71604938
Texas Rangers,39,4.62,0.69,162,1457,1169,12870,6330,4293,1916,121,169,0.981,-32,0,1982,38.32716049
Toronto Blue Jays,34,4.33,0.709,162,1458,1073,12993,6235,4331,1768,136,146,0.978,23,0,1982,37.64814815
Atlanta Braves,39,3.89,0.707,107,963,741,8712,4290,2904,1284,102,93,0.976,-3,0,1981,39.14018692
Baltimore Orioles,34,4.16,0.71,105,945,646,8460,4100,2820,1212,68,114,0.983,-4,0,1981,38.4
Boston Red Sox,32,4.45,0.703,108,972,811,8886,4298,2962,1245,91,108,0.979,5,0,1981,38.9537037
California Angels,37,4.12,0.71,110,990,794,8742,4301,2914,1286,101,120,0.977,-2,0,1981,38.18181818
Chicago Cubs,38,4.56,0.686,106,954,728,8610,4267,2870,1284,113,103,0.974,-66,0,1981,39.18867925
Chicago White Sox,33,3.99,0.709,106,954,722,8466,4127,2822,1218,87,113,0.979,-4,0,1981,38.11320755
Cincinnati Reds,31,4.07,0.717,108,972,748,8691,4109,2897,1132,80,99,0.981,-2,0,1981,37.30555556
Cleveland Indians,33,4.29,0.679,103,927,702,8379,4036,2793,1156,87,91,0.978,-56,0,1981,38.33980583
Detroit Tigers,34,3.71,0.74,109,981,745,8724,4238,2908,1263,67,109,0.984,62,0,1981,38.26605505
Houston Astros,37,3.01,0.721,110,990,778,8910,4263,2970,1206,87,81,0.98,17,1,1981,37.96363636
Kansas City Royals,35,3.93,0.716,103,927,750,8301,3939,2767,1100,72,94,0.982,6,1,1981,37.54368932
Los Angeles Dodgers,37,3.24,0.711,110,990,769,8973,4322,2991,1244,87,101,0.98,-5,1,1981,38.5
Milwaukee Brewers,32,4.21,0.705,109,981,771,8874,4395,2958,1358,79,135,0.982,3,1,1981,39.59633028
Minnesota Twins,37,4.42,0.693,110,990,775,8817,4303,2939,1268,96,103,0.978,-19,0,1981,38.24545455
Montreal Expos,43,3.65,0.715,108,972,756,8775,4129,2925,1123,81,88,0.98,29,1,1981,37.48148148
New York Mets,38,4.11,0.699,105,945,686,8334,4104,2779,1195,130,89,0.968,-26,0,1981,37.84761905
New York Yankees,38,3.21,0.721,107,963,750,8532,4073,2844,1157,72,100,0.982,21,1,1981,37.39252336
Oakland Athletics,39,3.7,0.732,109,981,810,8937,4140,2979,1080,81,74,0.98,57,1,1981,37.23853211
Philadelphia Phillies,36,4.41,0.692,107,963,665,8643,4252,2881,1285,86,90,0.98,-31,1,1981,38.93457944
Pittsburgh Pirates,36,4.13,0.696,103,927,688,8478,4083,2826,1171,86,106,0.979,-27,0,1981,38.80582524
San Diego Padres,33,4.14,0.695,110,990,750,9018,4483,3006,1375,102,117,0.977,-22,0,1981,39.82727273
Seattle Mariners,37,4.74,0.695,110,990,682,8975,4368,2992,1285,91,122,0.979,-16,0,1981,38.88181818
San Francisco Giants,35,3.73,0.701,111,999,772,9084,4443,3028,1313,102,102,0.977,-22,0,1981,39.10810811
St. Louis Cardinals,34,4.05,0.715,103,927,686,8487,4258,2829,1347,82,108,0.981,31,0,1981,40.54368932
Texas Rangers,36,3.7,0.725,105,945,753,8463,4230,2821,1340,69,102,0.984,37,0,1981,39.62857143
Toronto Blue Jays,35,4.4,0.713,106,954,743,8580,4129,2860,1164,105,102,0.975,5,0,1981,37.96226415
Atlanta Braves,32,4.1,0.71,161,1449,1081,12852,6396,4284,1950,162,156,0.975,16,0,1980,38.72049689
Baltimore Orioles,34,3.95,0.709,162,1458,1030,13140,6293,4380,1818,95,178,0.985,28,0,1980,38.25925926
Boston Red Sox,41,4.79,0.686,160,1440,1173,12972,6410,4324,1937,149,206,0.977,9,0,1980,39.13125
California Angels,40,4.98,0.69,160,1440,1126,12855,5995,4285,1576,134,144,0.978,-64,0,1980,36.63125
Chicago Cubs,34,4.49,0.68,162,1458,998,13311,6641,4437,2030,174,149,0.974,-52,0,1980,39.91975309
Chicago White Sox,38,4.46,0.699,162,1458,1078,12918,6400,4306,1923,171,162,0.973,-12,0,1980,38.45061728
Cincinnati Reds,33,4.11,0.71,163,1467,1128,13134,6214,4378,1730,106,144,0.983,2,0,1980,37.47239264
Cleveland Indians,32,5.04,0.689,160,1440,1111,12852,6102,4284,1713,105,143,0.983,-46,0,1980,37.48125
Detroit Tigers,34,4.64,0.704,163,1467,1133,13206,6322,4402,1787,133,165,0.979,-20,0,1980,37.96932515
Houston Astros,32,3.61,0.703,163,1467,1040,13344,6372,4448,1784,140,145,0.978,-6,1,1980,38.23312883
Kansas City Royals,36,4.28,0.707,162,1458,1112,13134,6339,4378,1820,141,150,0.978,22,1,1980,38.25925926
Los Angeles Dodgers,33,3.63,0.715,163,1467,1087,13254,6371,4418,1830,123,149,0.981,22,0,1980,38.33128834
Milwaukee Brewers,32,4.21,0.702,162,1458,1228,13050,6383,4350,1886,147,189,0.977,25,0,1980,38.49382716
Minnesota Twins,36,4.5,0.692,161,1449,1108,13059,6497,4353,1996,148,192,0.977,37,0,1980,39.43478261
Montreal Expos,37,3.88,0.698,162,1458,1173,13110,6298,4370,1784,144,126,0.977,-8,0,1980,37.98765432
New York Mets,40,4.33,0.692,162,1458,1122,13062,6190,4354,1682,154,132,0.975,-30,0,1980,37.25925926
New York Yankees,39,4.09,0.699,162,1458,1078,13179,6383,4393,1852,138,160,0.978,-14,1,1980,38.54938272
Oakland Athletics,31,3.96,0.727,162,1458,1229,13245,6176,4415,1631,130,115,0.979,99,0,1980,37.32098765
Philadelphia Phillies,39,3.94,0.701,162,1458,1086,13320,6512,4440,1936,136,136,0.979,4,1,1980,39.35802469
Pittsburgh Pirates,35,3.99,0.701,162,1458,1139,13125,6331,4375,1819,137,154,0.978,27,0,1980,38.2345679
San Diego Padres,36,4.01,0.699,163,1467,1068,13197,6543,4399,2012,132,157,0.98,5,0,1980,39.33128834
Seattle Mariners,33,4.87,0.693,163,1467,1101,13116,6451,4372,1930,149,189,0.977,-11,0,1980,38.66257669
San Francisco Giants,38,3.94,0.694,161,1449,1148,13035,6329,4345,1825,159,124,0.975,-36,0,1980,38.32298137
St. Louis Cardinals,41,4.38,0.703,162,1458,1109,13023,6422,4341,1959,122,174,0.981,24,0,1980,38.88888889
Texas Rangers,40,4.61,0.676,163,1467,1063,13065,6320,4355,1818,147,169,0.977,-88,0,1980,37.87116564
Toronto Blue Jays,37,4.7,0.697,162,1458,1165,13194,6470,4398,1939,133,206,0.979,14,0,1980,39.11728395
